sample_alias,sample_accession_id,biosample_id,run_accession_id,experiment_accession_id,study_accession_id,sample_attributes
CGPLH628P_1,EGAN00003220841,SAMEA9240729,EGAR00002846471,EGAX00002471956,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH629P_1,EGAN00003220837,SAMEA9240725,EGAR00002846472,EGAX00002471957,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH630P_1,EGAN00003220836,SAMEA9240724,EGAR00002846473,EGAX00002471958,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH631P_1,EGAN00003220839,SAMEA9240727,EGAR00002846474,EGAX00002471959,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH632P_1,EGAN00003220838,SAMEA9240726,EGAR00002846475,EGAX00002471960,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH633P_1,EGAN00003220834,SAMEA9240722,EGAR00002846476,EGAX00002471961,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH634P_1,EGAN00003220833,SAMEA9240721,EGAR00002846477,EGAX00002471962,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH635P_1,EGAN00003220835,SAMEA9240723,EGAR00002846478,EGAX00002471963,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH636P_1,EGAN00003220869,SAMEA9240757,EGAR00002846479,EGAX00002471964,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH637P_1,EGAN00003220867,SAMEA9240755,EGAR00002846480,EGAX00002471965,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH638P_1,EGAN00003220856,SAMEA9240744,EGAR00002846481,EGAX00002471966,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH641P_1,EGAN00003220853,SAMEA9240741,EGAR00002846482,EGAX00002471967,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH641P_2,EGAN00003220862,SAMEA9240750,EGAR00002846483,EGAX00002471968,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH643P_2,EGAN00003220378,SAMEA9240266,EGAR00002846484,EGAX00002471969,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH645P_1,EGAN00003220859,SAMEA9240747,EGAR00002846485,EGAX00002471970,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH646P_2,EGAN00003220377,SAMEA9240264,EGAR00002846486,EGAX00002471971,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH647P_1,EGAN00003220850,SAMEA9240738,EGAR00002846487,EGAX00002471972,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH647P_2,EGAN00003220849,SAMEA9240737,EGAR00002846488,EGAX00002471973,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH648P_1,EGAN00003220746,SAMEA9240634,EGAR00002846489,EGAX00002471974,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH649P_1,EGAN00003220744,SAMEA9240632,EGAR00002846490,EGAX00002471975,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH650P_1,EGAN00003220743,SAMEA9240631,EGAR00002846491,EGAX00002471976,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH651P_1,EGAN00003220742,SAMEA9240630,EGAR00002846492,EGAX00002471977,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH652P_1,EGAN00003220936,SAMEA9240824,EGAR00002846493,EGAX00002471978,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH653P_1,EGAN00003220609,SAMEA9240497,EGAR00002846494,EGAX00002471979,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH655P_1,EGAN00003220482,SAMEA9240382,EGAR00002846495,EGAX00002471980,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH656P_1,EGAN00003220480,SAMEA9240379,EGAR00002846496,EGAX00002471981,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH657P_1,EGAN00003220487,SAMEA9240843,EGAR00002846497,EGAX00002471982,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH658P_1,EGAN00003220845,SAMEA9240733,EGAR00002846498,EGAX00002471983,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH659P_1,EGAN00003220844,SAMEA9240732,EGAR00002846499,EGAX00002471984,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH660P_1,EGAN00003220916,SAMEA9240804,EGAR00002846500,EGAX00002471985,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH661P_1,EGAN00003220915,SAMEA9240803,EGAR00002846501,EGAX00002471986,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH662P_1,EGAN00003220935,SAMEA9240823,EGAR00002846502,EGAX00002471987,EGAS00001005340,ENA-CHECKLIST=ERC000026
