sample_accession_id,sample_alias,file_name,file_accession_id
EGAN00003220471,CGPLLU503P,CGPLLU503P.bam,EGAF00005323414
EGAN00003220472,CGPLH910P,CGPLH910P.bam,EGAF00005323057
EGAN00003220473,CGPLH699P_1,CGPLH699P_1.bam,EGAF00005322904
EGAN00003220474,CGPLH698P_1,CGPLH698P_1.bam,EGAF00005322903
EGAN00003220475,CGPLLU285P,CGPLLU285P.bam,EGAF00005323191
EGAN00003220476,CGPLLU448P,CGPLLU448P.bam,EGAF00005323358
EGAN00003220477,CGPLH700P_1,CGPLH700P_1.bam,EGAF00005322905
EGAN00003220478,CGPLLU444P,CGPLLU444P.bam,EGAF00005323354
EGAN00003220479,CGPLLU328P,CGPLLU328P.bam,EGAF00005323238
EGAN00003220480,CGPLH656P_1,CGPLH656P_1.bam,EGAF00005322863
EGAN00003220481,CGPLH668P_1,CGPLH668P_1.bam,EGAF00005322875
EGAN00003220482,CGPLH655P_1,CGPLH655P_1.bam,EGAF00005322862
EGAN00003220483,CGPLLU345P,CGPLLU345P.bam,EGAF00005323255
EGAN00003220484,CGPLH907P,CGPLH907P.bam,EGAF00005323054
EGAN00003220485,CGPLH666P_1,CGPLH666P_1.bam,EGAF00005322873
EGAN00003220486,CGPLLU530P,CGPLLU530P.bam,EGAF00005323441
EGAN00003220487,CGPLH657P_1,CGPLH657P_1.bam,EGAF00005322864
EGAN00003220488,CGPLH667P_1,CGPLH667P_1.bam,EGAF00005322874
EGAN00003220489,CGPLH909P,CGPLH909P.bam,EGAF00005323056
EGAN00003220490,CGPLLU493P,CGPLLU493P.bam,EGAF00005323403
EGAN00003220491,CGPLH908P,CGPLH908P.bam,EGAF00005323055
EGAN00003220492,CGPLLU570P,CGPLLU570P.bam,EGAF00005323481
EGAN00003220493,CGPLLU618P,CGPLLU618P.bam,EGAF00005323528
EGAN00003220494,CGPLLU546P,CGPLLU546P.bam,EGAF00005323457
EGAN00003220495,CGPLLU342P,CGPLLU342P.bam,EGAF00005323252
EGAN00003220496,CGPLLU293P,CGPLLU293P.bam,EGAF00005323200
EGAN00003220497,CGPLH706P_1,CGPLH706P_1.bam,EGAF00005322910
EGAN00003220498,CGPLH705P_1,CGPLH705P_1.bam,EGAF00005322909
EGAN00003220499,CGPLLU371P,CGPLLU371P.bam,EGAF00005323281
EGAN00003220500,CGPLLU427P,CGPLLU427P.bam,EGAF00005323337
EGAN00003220501,CGPLH707P_1,CGPLH707P_1.bam,EGAF00005322911
EGAN00003220502,CGPLH496P_2,CGPLH496P_2.bam,EGAF00005322777
EGAN00003220503,CGPLH505P_2,CGPLH505P_2.bam,EGAF00005322779
EGAN00003220504,CGPLH501P_2,CGPLH501P_2.bam,EGAF00005322778
EGAN00003220505,CGPLH574P_1,CGPLH574P_1.bam,EGAF00005322787
