method,subset,best_feature,auc_mean,auc_std,sens_95,sens_95_std,n_splits,n_samples
dd,withheld,griffin_diff,0.9654761904761905,0.016517186816085258,0.725,0.16298006013006622,5,58
dd,novel,griffin_diff,0.9343701996927803,0.005904807160346482,0.7048387096774194,0.060510746717109896,5,124
rna,withheld,rcov,0.5625,0.1035483348637786,0.0375,0.03423265984407289,5,58
rna,novel,rcov,0.6060675883256528,0.04872226225667401,0.12258064516129033,0.05511080504280609,5,124
atac,withheld,predefined_matrix,0.8449404761904763,0.07561076190437205,0.2,0.21378289220608837,5,58
atac,novel,predefined_matrix,0.8285714285714286,0.034060241526668526,0.4790322580645161,0.10162570323886039,5,124
