method,subset,series,fpr,tpr,tpr_lower,tpr_upper
atac,withheld,mean,0.23,0.7625,,
atac,withheld,mean,0.24,0.7875,,
atac,withheld,mean,0.25,0.7875,,
atac,withheld,mean,0.26,0.7875,,
atac,withheld,mean,0.27,0.8125,,
atac,withheld,mean,0.28,0.8125,,
atac,withheld,mean,0.29,0.8125,,
atac,withheld,mean,0.3,0.8125,,
atac,withheld,mean,0.31,0.8625,,
atac,withheld,mean,0.32,0.8625,,
atac,withheld,mean,0.33,0.8625,,
atac,withheld,mean,0.34,0.8875,,
atac,withheld,mean,0.35000000000000003,0.8875,,
atac,withheld,mean,0.36,0.8875,,
atac,withheld,mean,0.37,0.8875,,
atac,withheld,mean,0.38,0.8875,,
atac,withheld,mean,0.39,0.8875,,
atac,withheld,mean,0.4,0.8875,,
atac,withheld,mean,0.41000000000000003,0.8875,,
atac,withheld,mean,0.42,0.8875,,
atac,withheld,mean,0.43,0.8875,,
atac,withheld,mean,0.44,0.8875,,
atac,withheld,mean,0.45,0.8875,,
atac,withheld,mean,0.46,0.9,,
atac,withheld,mean,0.47000000000000003,0.9,,
atac,withheld,mean,0.48,0.9125,,
atac,withheld,mean,0.49,0.9125,,
atac,withheld,mean,0.5,0.925,,
atac,withheld,mean,0.51,0.925,,
atac,withheld,mean,0.52,0.925,,
atac,withheld,mean,0.53,0.925,,
atac,withheld,mean,0.54,0.925,,
atac,withheld,mean,0.55,0.925,,
atac,withheld,mean,0.56,0.925,,
atac,withheld,mean,0.5700000000000001,0.925,,
atac,withheld,mean,0.58,0.925,,
atac,withheld,mean,0.59,0.925,,
atac,withheld,mean,0.6,0.925,,
atac,withheld,mean,0.61,0.925,,
atac,withheld,mean,0.62,0.9375,,
atac,withheld,mean,0.63,0.9375,,
atac,withheld,mean,0.64,0.9375,,
atac,withheld,mean,0.65,0.95,,
atac,withheld,mean,0.66,0.95,,
atac,withheld,mean,0.67,0.95,,
atac,withheld,mean,0.68,0.95,,
atac,withheld,mean,0.6900000000000001,0.95,,
atac,withheld,mean,0.7000000000000001,0.9625,,
atac,withheld,mean,0.71,0.9625,,
atac,withheld,mean,0.72,0.9625,,
atac,withheld,mean,0.73,0.9625,,
atac,withheld,mean,0.74,0.9625,,
atac,withheld,mean,0.75,0.9625,,
atac,withheld,mean,0.76,0.9625,,
atac,withheld,mean,0.77,0.975,,
atac,withheld,mean,0.78,0.975,,
atac,withheld,mean,0.79,0.975,,
atac,withheld,mean,0.8,0.975,,
atac,withheld,mean,0.81,0.975,,
atac,withheld,mean,0.8200000000000001,0.975,,
atac,withheld,mean,0.8300000000000001,0.975,,
atac,withheld,mean,0.84,0.975,,
atac,withheld,mean,0.85,0.975,,
atac,withheld,mean,0.86,0.9875,,
atac,withheld,mean,0.87,0.9875,,
atac,withheld,mean,0.88,0.9875,,
atac,withheld,mean,0.89,0.9875,,
atac,withheld,mean,0.9,0.9875,,
atac,withheld,mean,0.91,0.9875,,
atac,withheld,mean,0.92,0.9875,,
atac,withheld,mean,0.93,0.9875,,
atac,withheld,mean,0.9400000000000001,0.9875,,
atac,withheld,mean,0.9500000000000001,0.9875,,
atac,withheld,mean,0.96,0.9875,,
atac,withheld,mean,0.97,0.9875,,
atac,withheld,mean,0.98,0.9875,,
atac,withheld,mean,0.99,0.9875,,
atac,withheld,mean,1.0,1.0,,
atac,withheld,ci,0.0,,0.0,0.0
atac,withheld,ci,0.01,,0.2,0.6625
atac,withheld,ci,0.02,,0.2,0.6625
atac,withheld,ci,0.03,,0.20625,0.66875
atac,withheld,ci,0.04,,0.20625,0.66875
atac,withheld,ci,0.05,,0.38125,0.68125
atac,withheld,ci,0.06,,0.38125,0.68125
atac,withheld,ci,0.07,,0.38125,0.68125
atac,withheld,ci,0.08,,0.38125,0.68125
atac,withheld,ci,0.09,,0.38125,0.68125
atac,withheld,ci,0.1,,0.4375,0.68125
atac,withheld,ci,0.11,,0.4375,0.68125
atac,withheld,ci,0.12,,0.4375,0.6875
atac,withheld,ci,0.13,,0.4375,0.6875
atac,withheld,ci,0.14,,0.4375,0.6875
atac,withheld,ci,0.15,,0.4375,0.74375
atac,withheld,ci,0.16,,0.4375,0.74375
atac,withheld,ci,0.17,,0.51875,0.80625
atac,withheld,ci,0.18,,0.51875,0.80625
atac,withheld,ci,0.19,,0.51875,0.80625
atac,withheld,ci,0.2,,0.575,0.80625
atac,withheld,ci,0.21,,0.575,0.80625
atac,withheld,ci,0.22,,0.5875,0.8125
atac,withheld,ci,0.23,,0.5875,0.8125
atac,withheld,ci,0.24,,0.5875,0.925
atac,withheld,ci,0.25,,0.5875,0.925
atac,withheld,ci,0.26,,0.5875,0.925
atac,withheld,ci,0.27,,0.5875,0.9375
atac,withheld,ci,0.28,,0.5875,0.9375
atac,withheld,ci,0.29,,0.5875,0.9375
atac,withheld,ci,0.3,,0.5875,0.9375
atac,withheld,ci,0.31,,0.7,1.0
atac,withheld,ci,0.32,,0.7,1.0
atac,withheld,ci,0.33,,0.7,1.0
atac,withheld,ci,0.34,,0.8125,1.0
atac,withheld,ci,0.35000000000000003,,0.8125,1.0
atac,withheld,ci,0.36,,0.8125,1.0
atac,withheld,ci,0.37,,0.8125,1.0
atac,withheld,ci,0.38,,0.8125,1.0
atac,withheld,ci,0.39,,0.8125,1.0
atac,withheld,ci,0.4,,0.8125,1.0
atac,withheld,ci,0.41000000000000003,,0.8125,1.0
atac,withheld,ci,0.42,,0.8125,1.0
atac,withheld,ci,0.43,,0.8125,1.0
atac,withheld,ci,0.44,,0.8125,1.0
atac,withheld,ci,0.45,,0.8125,1.0
atac,withheld,ci,0.46,,0.8125,1.0
atac,withheld,ci,0.47000000000000003,,0.8125,1.0
atac,withheld,ci,0.48,,0.8125,1.0
atac,withheld,ci,0.49,,0.8125,1.0
atac,withheld,ci,0.5,,0.8125,1.0
atac,withheld,ci,0.51,,0.8125,1.0
atac,withheld,ci,0.52,,0.8125,1.0
atac,withheld,ci,0.53,,0.8125,1.0
atac,withheld,ci,0.54,,0.8125,1.0
atac,withheld,ci,0.55,,0.8125,1.0
atac,withheld,ci,0.56,,0.8125,1.0
atac,withheld,ci,0.5700000000000001,,0.8125,1.0
atac,withheld,ci,0.58,,0.8125,1.0
atac,withheld,ci,0.59,,0.8125,1.0
atac,withheld,ci,0.6,,0.8125,1.0
atac,withheld,ci,0.61,,0.8125,1.0
atac,withheld,ci,0.62,,0.81875,1.0
atac,withheld,ci,0.63,,0.81875,1.0
atac,withheld,ci,0.64,,0.81875,1.0
atac,withheld,ci,0.65,,0.875,1.0
atac,withheld,ci,0.66,,0.875,1.0
atac,withheld,ci,0.67,,0.875,1.0
atac,withheld,ci,0.68,,0.875,1.0
atac,withheld,ci,0.6900000000000001,,0.875,1.0
atac,withheld,ci,0.7000000000000001,,0.88125,1.0
atac,withheld,ci,0.71,,0.88125,1.0
atac,withheld,ci,0.72,,0.88125,1.0
atac,withheld,ci,0.73,,0.88125,1.0
atac,withheld,ci,0.74,,0.88125,1.0
atac,withheld,ci,0.75,,0.88125,1.0
atac,withheld,ci,0.76,,0.88125,1.0
atac,withheld,ci,0.77,,0.8875,1.0
atac,withheld,ci,0.78,,0.8875,1.0
atac,withheld,ci,0.79,,0.8875,1.0
atac,withheld,ci,0.8,,0.8875,1.0
atac,withheld,ci,0.81,,0.8875,1.0
atac,withheld,ci,0.8200000000000001,,0.8875,1.0
atac,withheld,ci,0.8300000000000001,,0.8875,1.0
atac,withheld,ci,0.84,,0.8875,1.0
atac,withheld,ci,0.85,,0.8875,1.0
atac,withheld,ci,0.86,,0.94375,1.0
atac,withheld,ci,0.87,,0.94375,1.0
atac,withheld,ci,0.88,,0.94375,1.0
atac,withheld,ci,0.89,,0.94375,1.0
atac,withheld,ci,0.9,,0.94375,1.0
atac,withheld,ci,0.91,,0.94375,1.0
atac,withheld,ci,0.92,,0.94375,1.0
atac,withheld,ci,0.93,,0.94375,1.0
atac,withheld,ci,0.9400000000000001,,0.94375,1.0
atac,withheld,ci,0.9500000000000001,,0.94375,1.0
atac,withheld,ci,0.96,,0.94375,1.0
atac,withheld,ci,0.97,,0.94375,1.0
atac,withheld,ci,0.98,,0.94375,1.0
atac,withheld,ci,0.99,,0.94375,1.0
atac,withheld,ci,1.0,,1.0,1.0
atac,novel,mean,0.0,0.0,,
atac,novel,mean,0.01,0.4516129032258064,,
atac,novel,mean,0.02,0.4516129032258064,,
atac,novel,mean,0.03,0.4790322580645161,,
atac,novel,mean,0.04,0.4790322580645161,,
atac,novel,mean,0.05,0.5451612903225806,,
atac,novel,mean,0.06,0.5451612903225806,,
atac,novel,mean,0.07,0.5451612903225806,,
atac,novel,mean,0.08,0.5838709677419355,,
atac,novel,mean,0.09,0.5838709677419355,,
atac,novel,mean,0.1,0.5999999999999999,,
atac,novel,mean,0.11,0.5999999999999999,,
atac,novel,mean,0.12,0.6241935483870968,,
atac,novel,mean,0.13,0.6241935483870968,,
atac,novel,mean,0.14,0.6241935483870968,,
atac,novel,mean,0.15,0.6387096774193548,,
atac,novel,mean,0.16,0.6387096774193548,,
atac,novel,mean,0.17,0.6709677419354838,,
atac,novel,mean,0.18,0.6709677419354838,,
atac,novel,mean,0.19,0.6709677419354838,,
atac,novel,mean,0.2,0.7,,
atac,novel,mean,0.21,0.7,,
atac,novel,mean,0.22,0.7193548387096774,,
atac,novel,mean,0.23,0.7193548387096774,,
atac,novel,mean,0.24,0.7435483870967742,,
atac,novel,mean,0.25,0.7435483870967742,,
atac,novel,mean,0.26,0.7435483870967742,,
atac,novel,mean,0.27,0.7612903225806452,,
atac,novel,mean,0.28,0.7612903225806452,,
atac,novel,mean,0.29,0.7774193548387097,,
atac,novel,mean,0.3,0.7774193548387097,,
atac,novel,mean,0.31,0.7935483870967743,,
atac,novel,mean,0.32,0.7935483870967743,,
atac,novel,mean,0.33,0.7935483870967743,,
atac,novel,mean,0.34,0.803225806451613,,
atac,novel,mean,0.35000000000000003,0.803225806451613,,
atac,novel,mean,0.36,0.8274193548387097,,
atac,novel,mean,0.37,0.8274193548387097,,
atac,novel,mean,0.38,0.8274193548387097,,
atac,novel,mean,0.39,0.835483870967742,,
atac,novel,mean,0.4,0.835483870967742,,
atac,novel,mean,0.41000000000000003,0.8403225806451612,,
atac,novel,mean,0.42,0.8403225806451612,,
atac,novel,mean,0.43,0.8451612903225806,,
atac,novel,mean,0.44,0.8451612903225806,,
atac,novel,mean,0.45,0.8451612903225806,,
atac,novel,mean,0.46,0.8516129032258064,,
atac,novel,mean,0.47000000000000003,0.8516129032258064,,
atac,novel,mean,0.48,0.8548387096774194,,
atac,novel,mean,0.49,0.8548387096774194,,
atac,novel,mean,0.5,0.882258064516129,,
atac,novel,mean,0.51,0.882258064516129,,
atac,novel,mean,0.52,0.882258064516129,,
atac,novel,mean,0.53,0.882258064516129,,
atac,novel,mean,0.54,0.882258064516129,,
atac,novel,mean,0.55,0.8870967741935484,,
atac,novel,mean,0.56,0.8870967741935484,,
atac,novel,mean,0.5700000000000001,0.8870967741935484,,
atac,novel,mean,0.58,0.896774193548387,,
atac,novel,mean,0.59,0.896774193548387,,
atac,novel,mean,0.6,0.9048387096774194,,
atac,novel,mean,0.61,0.9048387096774194,,
atac,novel,mean,0.62,0.9161290322580646,,
atac,novel,mean,0.63,0.9161290322580646,,
atac,novel,mean,0.64,0.9161290322580646,,
atac,novel,mean,0.65,0.9258064516129032,,
atac,novel,mean,0.66,0.9258064516129032,,
atac,novel,mean,0.67,0.9274193548387096,,
atac,novel,mean,0.68,0.9274193548387096,,
atac,novel,mean,0.6900000000000001,0.9274193548387096,,
atac,novel,mean,0.7000000000000001,0.9451612903225806,,
atac,novel,mean,0.71,0.9451612903225806,,
atac,novel,mean,0.72,0.9451612903225806,,
atac,novel,mean,0.73,0.9451612903225806,,
atac,novel,mean,0.74,0.95,,
atac,novel,mean,0.75,0.95,,
atac,novel,mean,0.76,0.95,,
atac,novel,mean,0.77,0.9564516129032258,,
atac,novel,mean,0.78,0.9564516129032258,,
atac,novel,mean,0.79,0.9661290322580646,,
atac,novel,mean,0.8,0.9661290322580646,,
atac,novel,mean,0.81,0.9693548387096774,,
atac,novel,mean,0.8200000000000001,0.9693548387096774,,
atac,novel,mean,0.8300000000000001,0.9693548387096774,,
atac,novel,mean,0.84,0.9725806451612904,,
atac,novel,mean,0.85,0.9725806451612904,,
atac,novel,mean,0.86,0.9758064516129032,,
atac,novel,mean,0.87,0.9758064516129032,,
atac,novel,mean,0.88,0.9758064516129032,,
atac,novel,mean,0.89,0.979032258064516,,
atac,novel,mean,0.9,0.979032258064516,,
atac,novel,mean,0.91,0.985483870967742,,
atac,novel,mean,0.92,0.985483870967742,,
atac,novel,mean,0.93,0.9903225806451612,,
atac,novel,mean,0.9400000000000001,0.9903225806451612,,
atac,novel,mean,0.9500000000000001,0.9903225806451612,,
atac,novel,mean,0.96,0.9951612903225808,,
atac,novel,mean,0.97,0.9951612903225808,,
atac,novel,mean,0.98,1.0,,
atac,novel,mean,0.99,1.0,,
atac,novel,mean,1.0,1.0,,
atac,novel,ci,0.0,,0.0,0.0
atac,novel,ci,0.01,,0.3120967741935484,0.5379032258064516
atac,novel,ci,0.02,,0.3120967741935484,0.5379032258064516
atac,novel,ci,0.03,,0.3193548387096774,0.5387096774193548
atac,novel,ci,0.04,,0.3193548387096774,0.5387096774193548
atac,novel,ci,0.05,,0.47338709677419355,0.6080645161290322
atac,novel,ci,0.06,,0.47338709677419355,0.6080645161290322
atac,novel,ci,0.07,,0.47338709677419355,0.6080645161290322
atac,novel,ci,0.08,,0.4862903225806452,0.6701612903225806
atac,novel,ci,0.09,,0.4862903225806452,0.6701612903225806
atac,novel,ci,0.1,,0.5080645161290323,0.6725806451612902
atac,novel,ci,0.11,,0.5080645161290323,0.6725806451612902
atac,novel,ci,0.12,,0.5806451612903226,0.6749999999999999
atac,novel,ci,0.13,,0.5806451612903226,0.6749999999999999
atac,novel,ci,0.14,,0.5806451612903226,0.6749999999999999
atac,novel,ci,0.15,,0.5814516129032259,0.692741935483871
atac,novel,ci,0.16,,0.5814516129032259,0.692741935483871
atac,novel,ci,0.17,,0.6,0.7258064516129032
atac,novel,ci,0.18,,0.6,0.7258064516129032
atac,novel,ci,0.19,,0.6,0.7258064516129032
atac,novel,ci,0.2,,0.6387096774193548,0.7693548387096774
atac,novel,ci,0.21,,0.6387096774193548,0.7693548387096774
atac,novel,ci,0.22,,0.6588709677419354,0.7774193548387096
atac,novel,ci,0.23,,0.6588709677419354,0.7774193548387096
atac,novel,ci,0.24,,0.6814516129032258,0.8056451612903225
atac,novel,ci,0.25,,0.6814516129032258,0.8056451612903225
atac,novel,ci,0.26,,0.6814516129032258,0.8056451612903225
atac,novel,ci,0.27,,0.682258064516129,0.8379032258064516
atac,novel,ci,0.28,,0.682258064516129,0.8379032258064516
atac,novel,ci,0.29,,0.6838709677419355,0.8467741935483871
atac,novel,ci,0.3,,0.6838709677419355,0.8467741935483871
atac,novel,ci,0.31,,0.7129032258064516,0.8838709677419355
atac,novel,ci,0.32,,0.7129032258064516,0.8838709677419355
atac,novel,ci,0.33,,0.7129032258064516,0.8838709677419355
atac,novel,ci,0.34,,0.7217741935483871,0.8919354838709678
atac,novel,ci,0.35000000000000003,,0.7217741935483871,0.8919354838709678
atac,novel,ci,0.36,,0.7830645161290323,0.8935483870967742
atac,novel,ci,0.37,,0.7830645161290323,0.8935483870967742
atac,novel,ci,0.38,,0.7830645161290323,0.8935483870967742
atac,novel,ci,0.39,,0.7911290322580645,0.9016129032258065
atac,novel,ci,0.4,,0.7911290322580645,0.9016129032258065
atac,novel,ci,0.41000000000000003,,0.7983870967741935,0.9161290322580645
atac,novel,ci,0.42,,0.7983870967741935,0.9161290322580645
atac,novel,ci,0.43,,0.7991935483870968,0.9233870967741935
atac,novel,ci,0.44,,0.7991935483870968,0.9233870967741935
atac,novel,ci,0.45,,0.7991935483870968,0.9233870967741935
atac,novel,ci,0.46,,0.7991935483870968,0.9241935483870968
atac,novel,ci,0.47000000000000003,,0.7991935483870968,0.9241935483870968
atac,novel,ci,0.48,,0.8008064516129032,0.9241935483870968
atac,novel,ci,0.49,,0.8008064516129032,0.9241935483870968
atac,novel,ci,0.5,,0.835483870967742,0.9241935483870968
atac,novel,ci,0.51,,0.835483870967742,0.9241935483870968
atac,novel,ci,0.52,,0.835483870967742,0.9241935483870968
atac,novel,ci,0.53,,0.835483870967742,0.9241935483870968
atac,novel,ci,0.54,,0.835483870967742,0.9241935483870968
atac,novel,ci,0.55,,0.8362903225806452,0.9314516129032258
atac,novel,ci,0.56,,0.8362903225806452,0.9314516129032258
atac,novel,ci,0.5700000000000001,,0.8362903225806452,0.9314516129032258
atac,novel,ci,0.58,,0.8435483870967743,0.9330645161290322
atac,novel,ci,0.59,,0.8435483870967743,0.9330645161290322
atac,novel,ci,0.6,,0.8435483870967743,0.9435483870967742
atac,novel,ci,0.61,,0.8435483870967743,0.9435483870967742
atac,novel,ci,0.62,,0.853225806451613,0.9580645161290323
atac,novel,ci,0.63,,0.853225806451613,0.9580645161290323
atac,novel,ci,0.64,,0.853225806451613,0.9580645161290323
atac,novel,ci,0.65,,0.8895161290322581,0.9580645161290323
atac,novel,ci,0.66,,0.8895161290322581,0.9580645161290323
atac,novel,ci,0.67,,0.8903225806451612,0.9580645161290323
atac,novel,ci,0.68,,0.8903225806451612,0.9580645161290323
atac,novel,ci,0.6900000000000001,,0.8903225806451612,0.9580645161290323
atac,novel,ci,0.7000000000000001,,0.9282258064516129,0.9669354838709677
atac,novel,ci,0.71,,0.9282258064516129,0.9669354838709677
atac,novel,ci,0.72,,0.9282258064516129,0.9669354838709677
atac,novel,ci,0.73,,0.9282258064516129,0.9669354838709677
atac,novel,ci,0.74,,0.9362903225806452,0.9669354838709677
atac,novel,ci,0.75,,0.9362903225806452,0.9669354838709677
atac,novel,ci,0.76,,0.9362903225806452,0.9669354838709677
atac,novel,ci,0.77,,0.9443548387096775,0.9669354838709677
atac,novel,ci,0.78,,0.9443548387096775,0.9669354838709677
atac,novel,ci,0.79,,0.9596774193548387,0.975
atac,novel,ci,0.8,,0.9596774193548387,0.975
atac,novel,ci,0.81,,0.960483870967742,0.9822580645161291
atac,novel,ci,0.8200000000000001,,0.960483870967742,0.9822580645161291
atac,novel,ci,0.8300000000000001,,0.960483870967742,0.9822580645161291
atac,novel,ci,0.84,,0.967741935483871,0.9830645161290322
atac,novel,ci,0.85,,0.967741935483871,0.9830645161290322
atac,novel,ci,0.86,,0.9685483870967743,0.9830645161290322
atac,novel,ci,0.87,,0.9685483870967743,0.9830645161290322
atac,novel,ci,0.88,,0.9685483870967743,0.9830645161290322
atac,novel,ci,0.89,,0.9758064516129032,0.9838709677419355
atac,novel,ci,0.9,,0.9758064516129032,0.9838709677419355
atac,novel,ci,0.91,,0.9766129032258065,0.9919354838709677
atac,novel,ci,0.92,,0.9766129032258065,0.9919354838709677
atac,novel,ci,0.93,,0.9838709677419355,0.9991935483870967
atac,novel,ci,0.9400000000000001,,0.9838709677419355,0.9991935483870967
atac,novel,ci,0.9500000000000001,,0.9838709677419355,0.9991935483870967
atac,novel,ci,0.96,,0.9846774193548388,1.0
atac,novel,ci,0.97,,0.9846774193548388,1.0
atac,novel,ci,0.98,,1.0,1.0
atac,novel,ci,0.99,,1.0,1.0
atac,novel,ci,1.0,,1.0,1.0
