feature,classifier,weighting_function,top_genes,fold,auc,source_dir
fslr,K-Nearest Neighbors,mean_diff,2500,4,0.8273809523809523,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,2500,5,0.9047619047619048,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,2500,6,0.6964285714285714,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,2500,7,0.8690476190476191,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,2500,8,0.6785714285714286,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,2500,9,0.8333333333333333,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,2500,10,0.7053571428571429,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,250,1,0.8869047619047619,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,250,2,0.8392857142857143,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,250,3,0.8511904761904762,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,250,4,0.8452380952380953,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,250,5,0.875,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,250,6,0.6428571428571429,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,250,7,0.7797619047619048,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,250,8,0.8511904761904763,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,250,9,0.8690476190476191,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,250,10,0.8035714285714286,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,25,1,0.863095238095238,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,25,2,0.5327380952380952,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,25,3,0.7916666666666666,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,25,4,0.8511904761904762,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,25,5,0.7142857142857143,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,25,6,0.7083333333333333,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,25,7,0.6071428571428571,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,25,8,0.875,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,25,9,0.6607142857142857,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,25,10,0.7202380952380952,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,5000,1,0.7232142857142858,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,5000,2,0.7767857142857143,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,5000,3,0.5625,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,5000,4,0.6726190476190477,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,5000,5,0.8690476190476191,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,5000,6,0.5595238095238095,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,5000,7,0.863095238095238,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,5000,8,0.75,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,5000,9,0.7619047619047619,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,5000,10,0.6190476190476191,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,500,1,0.8809523809523809,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,500,2,0.7797619047619048,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,500,3,0.6547619047619048,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,500,4,0.9523809523809524,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,500,5,0.8809523809523809,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,500,6,0.49404761904761907,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,500,7,0.7678571428571429,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,500,8,0.6398809523809523,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,500,9,0.8452380952380952,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,500,10,0.7827380952380952,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,50,1,0.7440476190476191,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,50,2,0.6875,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,50,3,0.6964285714285715,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,50,4,0.7857142857142857,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,50,5,0.8273809523809523,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,50,6,0.7202380952380952,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,50,7,0.7678571428571429,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,50,8,0.9107142857142857,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,50,9,0.6309523809523809,brca_crc_dd
fslr,K-Nearest Neighbors,mean_diff,50,10,0.8630952380952381,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,10000,1,0.5416666666666666,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,10000,2,0.6726190476190477,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,10000,3,0.5625,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,10000,4,0.6845238095238095,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,10000,5,0.6011904761904762,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,10000,6,0.5654761904761905,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,10000,7,0.7767857142857143,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,10000,8,0.5654761904761904,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,10000,9,0.6130952380952381,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,10000,10,0.7321428571428571,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,1000,1,0.8571428571428572,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,1000,2,0.7857142857142858,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,1000,3,0.7261904761904762,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,1000,4,0.8630952380952381,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,1000,5,0.9345238095238095,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,1000,6,0.6666666666666667,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,1000,7,0.8333333333333334,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,1000,8,0.6547619047619048,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,1000,9,0.8125,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,1000,10,0.7886904761904763,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,100,1,0.7440476190476191,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,100,2,0.7202380952380952,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,100,3,0.6726190476190476,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,100,4,0.7023809523809523,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,100,5,0.7678571428571429,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,100,6,0.625,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,100,7,0.5535714285714286,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,100,8,0.8273809523809524,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,100,9,0.8273809523809523,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,100,10,0.8690476190476191,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,10,1,0.738095238095238,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,10,2,0.5833333333333333,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,10,3,0.6309523809523809,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,10,4,0.6071428571428572,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,10,5,0.625,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,10,6,0.7142857142857143,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,10,7,0.7261904761904762,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,10,8,0.6934523809523809,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,10,9,0.6666666666666667,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,10,10,0.4821428571428572,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,14224,1,0.5625,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,14224,2,0.6607142857142857,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,14224,3,0.5625,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,14224,4,0.6875,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,14224,5,0.7797619047619049,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,14224,6,0.6011904761904762,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,14224,7,0.6875,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,14224,8,0.40476190476190477,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,14224,9,0.47619047619047616,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,14224,10,0.625,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,1500,1,0.7946428571428571,brca_crc_dd
